"title","price","currency","originalPrice","isOnSale","rating","reviewCount","favorites","freeShipping","shopName","shopSales","yearsOnEtsy","starSeller","category","isAd","shopId","listingId","url","image/@context","image/@type","image/author","image/contentURL","image/description","image/thumbnail"
"Set of 3 Vintage hardback Old Books Farmhouse decor customizable wedding decor Vintage Book Stacks Classic literature unique gift Authentic","24.97","USD",,"false","4.7","142","2929",,"CharmingTreasurFinds","10200","8","true","Books, Movies & Music < Books < Book Sets & Collections",,,"1170194176","https://www.etsy.com/listing/1170194176/set-of-3-vintage-hardback-old-books","https://schema.org","ImageObject","CharmingTreasurFinds","https://i.etsystatic.com/16895790/r/il/5cfe5f/7738693466/il_fullxfull.7738693466_hqoc.jpg",,"https://i.etsystatic.com/16895790/r/il/5cfe5f/7738693466/il_340x270.7738693466_hqoc.jpg"
"Solar Moon Star Sun Wind Chime Light, Vintage Hanging Lantern, Outdoor Garden Decor","25.03","USD","29.45","true","3.3","28","915",,"WillowYardGlow","240",,"true","Home & Living < Lighting < Light Fixtures < Garden & String Lights < Garden Lights",,,"4505069444","https://www.etsy.com/listing/4505069444/solar-moon-star-sun-wind-chime-light","https://schema.org","ImageObject","WillowYardGlow","https://i.etsystatic.com/65565951/r/il/500ed1/8019198132/il_fullxfull.8019198132_lfw2.jpg","May include: Solar-powered wind chimes with celestial designs, including moons, stars, and suns. The chimes hang from a wooden pergola, illuminating the night with warm and colorful LED lights. The outdoor decor adds a whimsical touch to a garden or patio.","https://i.etsystatic.com/65565951/r/il/500ed1/8019198132/il_340x270.8019198132_lfw2.jpg"
"Oval Moissanite engagement ring 14K gold engagement ring Vintage engagement ring hand engraving diamond ring Anniversary promise ring","1368.26","USD","2736.53","true","4.9","9394","20",,"BravermanOren","27100","11","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1407748235","https://www.etsy.com/listing/1407748235/oval-moissanite-engagement-ring-14k-gold","https://schema.org","ImageObject","BravermanOren","https://i.etsystatic.com/9792770/r/il/a01b15/4630294515/il_fullxfull.4630294515_5z33.jpg","May include: A gold engagement ring with an oval-shaped diamond set in a pave setting. The band is adorned with small diamonds.","https://i.etsystatic.com/9792770/c/1129/897/559/1226/il/a01b15/4630294515/il_340x270.4630294515_5z33.jpg"
"Large Framed Japanese Landscape Wall Art, Mount Fuji Canvas Print, Vintage Asian Nature Artwork, Zen Scenic Decor","142.49","USD","149.99","true","4.9","8440","79",,"DustinWay","40500","4","true","Art & Collectibles < Prints < Digital Prints",,,"4478433825","https://www.etsy.com/listing/4478433825/large-framed-japanese-landscape-wall-art","https://schema.org","ImageObject","DustinWay","https://i.etsystatic.com/34335965/r/il/3c9e8a/7847844694/il_fullxfull.7847844694_d87m.jpg","May include: A framed landscape painting depicting a serene mountain scene with a lake and trees. The artwork features a light brown wooden frame and is displayed above a green velvet sofa. The color palette includes shades of green, blue, and brown.","https://i.etsystatic.com/34335965/r/il/3c9e8a/7847844694/il_340x270.7847844694_d87m.jpg"
"Vintage 3 Piece Men&#39;s Linen Suit, Retro Gentleman Wedding Outfit By Maricsuits","242.96","USD","485.92","true","4.1","9","73",,"Maricsuits","48",,"true","Clothing",,,"4480532839","https://www.etsy.com/listing/4480532839/vintage-3-piece-mens-linen-suit-retro","https://schema.org","ImageObject","Maricsuits","https://i.etsystatic.com/61545238/r/il/f5ac95/7909528185/il_fullxfull.7909528185_m7z4.jpg","May include: A three-piece dark charcoal suit with a straw hat. The suit includes a jacket, vest, and trousers. The model is wearing a white dress shirt and a patterned tie. The brand name &quot;MARICSUITS&quot; is at the top of the image.","https://i.etsystatic.com/61545238/r/il/f5ac95/7909528185/il_340x270.7909528185_m7z4.jpg"
"Vintage Peek-a-boo Watch Collection","200.19","USD",,"false","4.9","370","28",,"RelicWatchesShop","1600","5","true","Jewelry < Watches < Wrist Watches < Women's Wrist Watches",,,"4523589846","https://www.etsy.com/listing/4523589846/vintage-peek-a-boo-watch-collection","https://schema.org","ImageObject","RelicWatchesShop","https://i.etsystatic.com/48171055/r/il/e6631a/8148404522/il_fullxfull.8148404522_9lye.jpg",,"https://i.etsystatic.com/48171055/r/il/e6631a/8148404522/il_340x270.8148404522_9lye.jpg"
"Vintage PU Leather Crossbody Bag, Retro Multi-Layer Shoulder Purse, Brown Red Messenger Handbag","24.99","USD","49.99","true","5","1","17",,"BoutiqueBySJS","10",,"true","Bags & Purses < Handbags < Shoulder Bags",,,"4515893247","https://www.etsy.com/listing/4515893247/vintage-pu-leather-crossbody-bag-retro","https://schema.org","ImageObject","BoutiqueBySJS","https://i.etsystatic.com/65242886/r/il/dd8e12/8094105636/il_fullxfull.8094105636_77h2.jpg","May include: A brown leather crossbody bag with a textured finish, featuring multiple zippered compartments, silver-tone hardware, three decorative metal rings on the front pocket, and a braided strap detail on the lower right side.","https://i.etsystatic.com/65242886/r/il/dd8e12/8094105636/il_340x270.8094105636_77h2.jpg"
"Vintage Style Muse Engagement Ring, 2.51 TCW Cushion Rensu Colorless Moissanite Ring, Side Round Colorless Moissanite, Proposal Wedding Ring","356.25","USD","475","true","4.9","6197","1059",,"diamondrensu","17300","8","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1421255888","https://www.etsy.com/listing/1421255888/vintage-style-muse-engagement-ring-251","https://schema.org","ImageObject","diamondrensu","https://i.etsystatic.com/14466790/r/il/7fcb81/6682690422/il_fullxfull.6682690422_2xok.jpg","vintage moissanite rings","https://i.etsystatic.com/14466790/c/1563/1563/230/286/il/7fcb81/6682690422/il_340x270.6682690422_2xok.jpg"
"Vintage Metal Sign Home Room Wall Bathroom Garden Decoration 16 x 4 Inches","8.09","USD","8.99","true","4.6","24","98",,"TTGgood","159",,"true","Home & Living < Home Decor < Wall Decor < Wall Hangings < Signs",,,"4493228185","https://www.etsy.com/listing/4493228185/vintage-metal-sign-home-room-wall","https://schema.org","ImageObject","TTGgood","https://i.etsystatic.com/50375022/r/il/512ae0/7942282786/il_fullxfull.7942282786_jwiy.jpg","May include: Rectangular metal sign with the words &quot;LOVE YOU, BYE&quot; in black block letters. The sign has a distressed, rusty appearance with a white background, giving it a vintage aesthetic.","https://i.etsystatic.com/50375022/r/il/512ae0/7942282786/il_340x270.7942282786_jwiy.jpg"
"Comfort Colors Vintage Insect Music Graphic Tee Musical Bugs Illustration Tee","25.43","USD","47.98","true","5","5","203",,"TheSentimentalThread","64",,"true","Clothing",,,"4503604555","https://www.etsy.com/listing/4503604555/comfort-colors-vintage-insect-music","https://schema.org","ImageObject","TheSentimentalThread","https://i.etsystatic.com/64641454/r/il/247290/8010524284/il_fullxfull.8010524284_3f5f.jpg","May include: Moss green t-shirt featuring a whimsical illustration of six anthropomorphic insects playing musical instruments. The insects include a beetle, grasshopper, ladybug, bee, and two others. A gold necklace rests on the shirt.","https://i.etsystatic.com/64641454/r/il/247290/8010524284/il_340x270.8010524284_3f5f.jpg"
"Hexagon cut Moissanite Solitaire Vintage Inspired Engagement Ring | 14K Rose Gold Filigree Engraving Wedding Band | Unique Gift for Her","1039.99","USD","2079.97","true","4.9","9394","312",,"BravermanOren","27100","11","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1648927550","https://www.etsy.com/listing/1648927550/hexagon-cut-moissanite-solitaire-vintage","https://schema.org","ImageObject","BravermanOren","https://i.etsystatic.com/9792770/r/il/82bb97/5743527263/il_fullxfull.5743527263_8gwj.jpg","Hexagon cut Moissanite Solitaire Proposal Ring 14K 18K Rose Gold Filigree Scrollwork Engraving 1920s Inspired","https://i.etsystatic.com/9792770/c/912/724/95/316/il/82bb97/5743527263/il_340x270.5743527263_8gwj.jpg"
"3 CT Marquise Lab Grown Diamond Engagement Ring, Vintage Inspired Art Deco 14K Gold Engraved Wedding Ring, IGI Certified Ring, Promise Ring","1141.46","USD","1630.66","true","5","10","103",,"ElaraDiamonds","40",,"true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"4490100095","https://www.etsy.com/listing/4490100095/3-ct-marquise-lab-grown-diamond","https://schema.org","ImageObject","ElaraDiamonds","https://i.etsystatic.com/64118863/r/il/64bc97/7922226504/il_fullxfull.7922226504_cxrk.jpg","May include: A gold engagement ring with a large, pear-shaped diamond as the centerpiece. The band features intricate filigree and small accent diamonds. The ring&#039;s setting is a warm gold color, and the overall design is elegant and vintage-inspired.","https://i.etsystatic.com/64118863/c/922/922/97/83/il/64bc97/7922226504/il_340x270.7922226504_cxrk.jpg"
"Marquise Moissanite 2.5ct Engagement Ring, Vintage Petal Tulip Prong Setting with Round Diamonds Ob  Bridge Setting, Lotus Prong Ring Gift","133.31","USD","177.75","true","4.9","743","720",,"GemOfJewel","2800","5","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"4307476770","https://www.etsy.com/listing/4307476770/marquise-moissanite-25ct-engagement-ring","https://schema.org","ImageObject","GemOfJewel","https://i.etsystatic.com/24898998/r/il/00824a/7004345229/il_fullxfull.7004345229_c9cw.jpg","","https://i.etsystatic.com/24898998/c/1290/1290/0/475/il/00824a/7004345229/il_340x270.7004345229_c9cw.jpg"
"Vintage Refurbished Seiko 5 Automatic Day/Date Japan Made Men&#39;s Wrist Watch","73.72","USD","98.29","true","3.8","17","136",,"AbroadWatches","115",,"true","Jewelry < Watches < Wrist Watches < Men's Wrist Watches",,,"4466233848","https://www.etsy.com/listing/4466233848/vintage-refurbished-seiko-5-automatic","https://schema.org","ImageObject","AbroadWatches","https://i.etsystatic.com/63258651/r/il/755075/7815666969/il_fullxfull.7815666969_ekxg.jpg","May include: Gold-toned Seiko 5 automatic wristwatch with a burgundy dial. The watch features gold hands and markers, a day-date display, and a gold link bracelet. The dial reads &quot;SEIKO 5 AUTOMATIC JAPAN MADE&quot;.","https://i.etsystatic.com/63258651/r/il/755075/7815666969/il_340x270.7815666969_ekxg.jpg"
"Vintage Engagement Ring, 3.0 TCW Oval Cut Green Moissanite Engagement Ring, Moissanite Wedding Ring, Anniversary Gifts for Her, Muse Setting","344.25","USD","459","true","4.9","3128","475",,"Caratdiamond","10000","6","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1104115349","https://www.etsy.com/listing/1104115349/vintage-engagement-ring-30-tcw-oval-cut","https://schema.org","ImageObject","Caratdiamond","https://i.etsystatic.com/20952682/r/il/82dcc9/3404285450/il_fullxfull.3404285450_inb7.jpg","vintage engagement ring","https://i.etsystatic.com/20952682/c/2040/1622/418/671/il/82dcc9/3404285450/il_340x270.3404285450_inb7.jpg"
"America Applique Patchwork Embroidered Sweatshirt, Patriotic USA Crewneck, Vintage Patchwork 4th of July Shirt, Americana Gift","29","USD","50","true","4.5","444","779",,"Ubestgift1","3700","1","true","Clothing",,,"4512004606","https://www.etsy.com/listing/4512004606/america-applique-patchwork-embroidered","https://schema.org","ImageObject","Ubestgift1","https://i.etsystatic.com/58533509/r/il/868671/8114405837/il_fullxfull.8114405837_8ts4.jpg","May include: A light blue sweatshirt with a patchwork American flag design. The flag features white stars on a blue field and red and white striped sections. The sweatshirt has a crew neck and ribbed cuffs.","https://i.etsystatic.com/58533509/r/il/868671/8114405837/il_340x270.8114405837_8ts4.jpg"
"1986 Retro Birthday Sweatshirt – Vintage 40th Birthday Gift – Unisex T-Shirt for Men & Women – Classic 90s Style Party Anniversary Outfit","12.71","USD","16.95","true","4.8","10462","3699",,"freedomlook","81400","8","true","Clothing",,,"1497161058","https://www.etsy.com/listing/1497161058/1986-retro-birthday-sweatshirt-vintage","https://schema.org","ImageObject","freedomlook","https://i.etsystatic.com/16591606/r/il/b2ea02/8110982087/il_fullxfull.8110982087_mrcb.jpg","May include: Cream-colored sweatshirt with a retro design featuring the text &quot;JUNE 1986&quot; in a vintage font. The design includes a rainbow, mountains, and the words &quot;LIMITED EDITION&quot;. The sweatshirt also has the text &quot;CUSTOM BIRTH MONTH/YEAR MULTIPLE COLORS&quot;.","https://i.etsystatic.com/16591606/r/il/b2ea02/8110982087/il_340x270.8110982087_mrcb.jpg"
"Floral Coir Doormat, Vintage Wildflower Rug, Housewarming Gift","19.5","USD","35.45","true","4.9","15153","2522",,"WowMats","65100","6","true","Home & Living < Floor & Rugs < Door Mats",,,"1426734786","https://www.etsy.com/listing/1426734786/floral-doormat-colorful-welcome-mat","https://schema.org","ImageObject","WowMats","https://i.etsystatic.com/20748602/r/il/d7397b/8122840672/il_fullxfull.8122840672_b6zu.jpg","A person&#39;s feet standing on a decorative, floral-patterned rug with a dark green and brown color scheme.","https://i.etsystatic.com/20748602/r/il/d7397b/8122840672/il_340x270.8122840672_b6zu.jpg"
"Rustic Metal Mushroom Garden Stakes, Vintage Farmhouse Yard Art","34.64","USD","54.99","true","5","3","140",,"HomeLuma","48",,"true","Home & Living < Outdoor & Gardening < Garden Decoration < Yard Art",,,"4517811420","https://www.etsy.com/listing/4517811420/rustic-metal-mushroom-garden-stakes","https://schema.org","ImageObject","HomeLuma","https://i.etsystatic.com/63528315/r/il/87cc39/8155296227/il_fullxfull.8155296227_9l0y.jpg","May include: A set of three copper-colored metal mushroom sculptures with textured, wide caps and slender stems. The sculptures are arranged in a cluster, featuring a tall central mushroom flanked by two shorter ones, all with a metallic finish.","https://i.etsystatic.com/63528315/r/il/87cc39/8155296227/il_340x270.8155296227_9l0y.jpg"
"Vintage Funny Cat Shirt, Punk Kitten, Oversize, Womens, Mens, Comfort Colors T-shirt","20.24","USD","26.99","true","4.9","3084","1329",,"KickAshCo","19300","16","true","Clothing",,,"4466232917","https://www.etsy.com/listing/4466232917/vintage-funny-cat-shirt-punk-kitten","https://schema.org","ImageObject","KickAshCo","https://i.etsystatic.com/5768653/r/il/fb4526/7767737576/il_fullxfull.7767737576_bisj.jpg","May include: Black t-shirt featuring a distressed graphic of a cat with a mohawk and spiked collar. The cat is depicted in shades of gray and white, with a punk rock aesthetic. The shirt has rolled-up sleeves and a classic crew neck.","https://i.etsystatic.com/5768653/r/il/fb4526/7767737576/il_340x270.7767737576_bisj.jpg"
"Vintage Floral Marquise Moissanite Engagement Ring Yellow Gold Halo Twisted Wedding Ring Anniversary Ring Promise Ring Women","517.16","USD","608.42","true","5","3750","682",,"StarlandUS","15600","7","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"4386718106","https://www.etsy.com/listing/4386718106/vintage-floral-marquise-moissanite","https://schema.org","ImageObject","StarlandUS","https://i.etsystatic.com/19981788/r/il/411fc5/7285318830/il_fullxfull.7285318830_magw.jpg","May include: A gold engagement ring with a marquise-cut diamond center stone. The ring features a detailed filigree design around the center stone and smaller diamonds on the band. The ring is set on a wooden surface.","https://i.etsystatic.com/19981788/c/680/680/179/147/il/411fc5/7285318830/il_340x270.7285318830_magw.jpg"
"Tulip Oval Cut Green Sapphire Ring Set Vintage Floral Engraved Engagement Ring Yellow Gold Cathedral Ring Natural Inspired Leaf Ring Promise","738.1","USD","1230.17","true","4.9","3135","201",,"SzekiStudio","14500","9","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"4385052635","https://www.etsy.com/listing/4385052635/tulip-oval-cut-green-sapphire-ring-set","https://schema.org","ImageObject","SzekiStudio","https://i.etsystatic.com/15408855/r/il/d104e1/7275821142/il_fullxfull.7275821142_j4of.jpg","May include: Two gold rings with green gemstones. One ring features a large, round green gemstone and smaller accent stones. The other ring has two green leaf-shaped gemstones and small accent stones. The rings are displayed on a brown surface.","https://i.etsystatic.com/15408855/c/840/840/79/79/il/d104e1/7275821142/il_340x270.7275821142_j4of.jpg"
"Vintage Oval Cut Moissanite Wedding Ring, 14K Yellow Gold Filigree Solitaire Ring, Women’s Engagement Ring","1039.99","USD","2079.97","true","4.9","9394","131",,"BravermanOren","27100","11","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"4423484723","https://www.etsy.com/listing/4423484723/vintage-oval-cut-moissanite-wedding-ring","https://schema.org","ImageObject","BravermanOren","https://i.etsystatic.com/9792770/r/il/26b7c9/7551728541/il_fullxfull.7551728541_l0x8.jpg","May include: A gold engagement ring with an oval-cut diamond. The ring features intricate filigree detailing on the band and prongs. The diamond is held in place by four prongs. The ring is set on a light gray surface.","https://i.etsystatic.com/9792770/r/il/26b7c9/7551728541/il_340x270.7551728541_l0x8.jpg"
"Vintage Sparklers Wood Sign, Retro Americana Decor","6.33","USD",,"false","4.9","3271","796",,"LakeShoreHome","14100","16","true","Home & Living < Home Decor < Seasonal Decor",,,"4296556157","https://www.etsy.com/listing/4296556157/vintage-sparklers-wood-sign-retro","https://schema.org","ImageObject","LakeShoreHome","https://i.etsystatic.com/5721556/r/il/b91d69/6817505202/il_fullxfull.6817505202_iaeg.jpg","May include: A wooden tray with red, white, and blue decorations, including a sign that reads &quot;Home of the Free&quot;, and five vintage-style sparkler boxes with red, white, and blue designs. The boxes have text that reads &quot;Leader Sparkler&quot;, &quot;Easy Lite Gold Sparkler&quot;, &quot;Star Brand Sparkler&quot;, &quot;UnXId Sparkler&quot;, and &quot;Made in U.S.A.&quot;","https://i.etsystatic.com/5721556/r/il/b91d69/6817505202/il_340x270.6817505202_iaeg.jpg"
"Ribbed Tank with Pegasus Unicorn Maiden Vintage Inspired Graphic","29","USD",,"false","4.9","3023","2656",,"shopHotHoney","23300","8","true","Clothing",,,"934661047","https://www.etsy.com/listing/934661047/ribbed-tank-with-pegasus-unicorn-maiden","https://schema.org","ImageObject","shopHotHoney","https://i.etsystatic.com/12913345/r/il/d1a428/2812625159/il_fullxfull.2812625159_tgse.jpg","May include: White tank top with a graphic print of a woman riding a blue unicorn. The unicorn has red and blue accents.","https://i.etsystatic.com/12913345/r/il/d1a428/2812625159/il_340x270.2812625159_tgse.jpg"
